ts_event,OFI1,OFI1,OFI2,OFI3,OFI4,OFI5,OFI6,OFI7,OFI8,OFI9,OFI10,OFI_I,CrossOFI
2024-10-21 11:54:00+00:00,-594.0,-594.0,606.0,144.0,-301.0,-8.0,550.0,-156.0,-201.0,467.0,91.0,75.3613533939545,598.0
2024-10-21 11:55:00+00:00,-814.0,-814.0,397.0,1461.0,-79.0,-115.0,438.0,-129.0,-89.0,857.0,-762.0,61.15054857898997,1165.0
2024-10-21 11:56:00+00:00,300.0,300.0,7.0,1142.0,-300.0,352.0,28.0,-94.0,715.0,-306.0,400.0,276.74994588529876,2244.0
2024-10-21 11:57:00+00:00,779.0,779.0,88.0,548.0,-337.0,-1400.0,586.0,166.0,-584.0,1190.0,-466.0,57.792272645057196,570.0
2024-10-21 11:58:00+00:00,284.0,284.0,1022.0,447.0,461.0,-322.0,-1291.0,1040.0,147.0,988.0,1878.0,598.2121229320493,4654.0
2024-10-21 11:59:00+00:00,350.0,350.0,1372.0,229.0,-2172.0,223.0,79.0,1066.0,51.0,847.0,213.0,232.93224324065307,2258.0
2024-10-21 12:00:00+00:00,629.0,629.0,-397.0,-215.0,1139.0,-839.0,584.0,419.0,-851.0,1493.0,-2178.0,-252.7456424349692,-216.0
2024-10-21 12:01:00+00:00,-398.0,-398.0,477.0,1076.0,1483.0,172.0,-162.0,1254.0,-393.0,465.0,167.0,165.32658151215009,4141.0
2024-10-21 12:02:00+00:00,-501.0,-501.0,-950.0,402.0,889.0,-250.0,254.0,1494.0,-1113.0,2088.0,-1277.0,-31.415842656953487,1036.0
2024-10-21 12:03:00+00:00,-449.0,-449.0,375.0,785.0,1346.0,-500.0,729.0,695.0,-987.0,1911.0,-2222.0,-164.7914354080582,1683.0
2024-10-21 12:04:00+00:00,147.0,147.0,93.0,134.0,-202.0,-163.0,-136.0,558.0,-706.0,398.0,-1290.0,-373.41983867475267,-1167.0
2024-10-21 12:05:00+00:00,1142.0,1142.0,180.0,248.0,2050.0,1796.0,-750.0,1637.0,2348.0,-2466.0,887.0,580.5236240700345,7072.0
2024-10-21 12:06:00+00:00,659.0,659.0,-1251.0,689.0,1075.0,-220.0,537.0,1152.0,-483.0,1297.0,-1849.0,-46.5613480766001,1606.0
2024-10-21 12:07:00+00:00,835.0,835.0,962.0,1610.0,821.0,606.0,-2638.0,1908.0,975.0,-3991.0,204.0,-477.6624437474443,1292.0
2024-10-21 12:08:00+00:00,1101.0,1101.0,581.0,482.0,-524.0,1139.0,-183.0,-697.0,2370.0,-1658.0,1034.0,585.0596274763024,3645.0
2024-10-21 12:09:00+00:00,211.0,211.0,469.0,368.0,102.0,2496.0,1666.0,-2149.0,-372.0,3812.0,4134.0,1548.5161001862862,10737.0
2024-10-21 12:10:00+00:00,0.0,0.0,-1012.0,775.0,488.0,-182.0,3008.0,-2304.0,-713.0,3548.0,9922.0,2655.1375756332814,13530.0
2024-10-21 12:11:00+00:00,-1.0,-1.0,3027.0,745.0,599.0,75.0,-537.0,-104.0,1937.0,1.0,-1787.0,272.9949391708858,3955.0
